program_studi,angkatan,kategori,keluhan,prioritas,tingkat_gangguan,tingkat_urgensi,lokasi_keluhan
Teknik Geologi,2023,Fasilitas,Kondisi toilet di Gazebo kadang tidak mendukung perkuliahan.,Rendah,2,2,Laboratorium
Kimia,2022,Fasilitas,Kondisi speaker di Gedung C kadang tidak mendukung perkuliahan.,Rendah,1,2,Kantin
Ilmu Komputer,2023,Fasilitas,kursi di Laboratorium kadang kurang optimal sehingga kelas terasa kurang nyaman.,Rendah,1,2,Gazebo
Ilmu Komputer,2025,Fasilitas,kursi di Gazebo agak kurang optimal sehingga kelas terasa kurang nyaman.,Rendah,1,1,Gedung A
Teknik Geologi,2022,Fasilitas,meja di Gedung B kadang kurang optimal sehingga kelas terasa kurang nyaman.,Rendah,1,2,Gedung C
Bioteknologi,2023,Fasilitas,Mohon kursi di Gedung A dicek lagi karena masih sering mengganggu kegiatan belajar.,Sedang,3,4,Laboratorium
Teknik Pertambangan,2022,Fasilitas,Kondisi lampu kelas di Gedung B cukup tidak mendukung perkuliahan.,Sedang,4,4,Gedung A
Statistika,2022,Fasilitas,Mohon kipas angin di Gedung A dicek lagi karena cukup mengganggu kegiatan belajar.,Sedang,3,4,Gedung C
Biologi,2025,Fasilitas,Mohon colokan listrik di Gazebo dicek lagi karena sering mengganggu kegiatan belajar.,Sedang,4,4,Gazebo
Ilmu Komputer,2025,Fasilitas,kipas angin di Gedung D lumayan bermasalah dan perlu perbaikan.,Sedang,3,4,Laboratorium
Teknik Pertambangan,2025,Fasilitas,speaker di Gazebo lumayan bermasalah dan perlu perbaikan.,Sedang,4,4,Gedung B
Ilmu Komputer,2024,Fasilitas,Kondisi kipas angin di Gedung C masih sering tidak mendukung perkuliahan.,Sedang,4,4,Gedung A
Teknik Pertambangan,2025,Fasilitas,lampu kelas di Gazebo benar-benar kurang optimal sehingga kelas terasa kurang nyaman. Mohon segera ada perbaikan.,Tinggi,4,4,Gedung D
Statistika,2024,Fasilitas,Kondisi papan tulis di Gedung A parah tidak mendukung perkuliahan.,Tinggi,4,4,Kantin
Bioteknologi,2022,Fasilitas,lampu kelas di Gedung C parah bermasalah dan perlu perbaikan.,Tinggi,4,4,Kantin
Kimia,2022,Fasilitas,Kondisi speaker di Laboratorium parah tidak mendukung perkuliahan.,Tinggi,5,5,Laboratorium
Kimia,2022,Fasilitas,kursi di Perpustakaan benar-benar bermasalah dan perlu perbaikan.,Tinggi,4,4,Perpustakaan
Kimia,2025,Fasilitas,kursi di Gedung D benar-benar kurang optimal sehingga kelas terasa kurang nyaman.,Tinggi,5,5,Gedung A
Ilmu Komputer,2022,Fasilitas,lampu kelas di Gedung C mendesak bermasalah dan perlu perbaikan. Mohon segera ada perbaikan.,Tinggi,5,5,Gedung D
Bioteknologi,2022,Fasilitas,Mohon colokan listrik di Kantin dicek lagi karena sangat mengganggu kegiatan belajar.,Tinggi,5,5,Gedung A
Bioteknologi,2025,Jaringan,Jangkauan jaringan di Gedung C kadang kurang luas dan sering tidak tersambung.,Rendah,1,2,Gedung C
Bioteknologi,2024,Jaringan,Jangkauan jaringan di Laboratorium masih kurang luas dan sering tidak tersambung.,Rendah,1,1,Perpustakaan
Ilmu Komputer,2023,Jaringan,Koneksi internet di Gedung B agak tidak stabil sehingga sulit akses LMS.,Rendah,2,1,Gedung A
Kimia,2022,Jaringan,Internet kampus di Gedung C masih bermasalah terutama saat jam sibuk.,Rendah,1,1,Gedung A
Teknik Pertambangan,2022,Jaringan,WiFi di Gazebo cukup lambat dan sering putus saat kuliah berlangsung.,Sedang,4,4,Gedung B
Kimia,2022,Jaringan,Jangkauan jaringan di Gedung A masih sering kurang luas dan sering tidak tersambung.,Sedang,3,4,Gedung A
Teknik Pertambangan,2024,Jaringan,Koneksi internet di Gedung A lumayan tidak stabil sehingga sulit akses LMS.,Sedang,4,4,Kantin
Teknik Pertambangan,2023,Jaringan,Internet kampus di Kantin cukup bermasalah terutama saat jam sibuk.,Sedang,3,4,Gedung A
Teknik Geologi,2023,Jaringan,Jangkauan jaringan di Kantin masih sering kurang luas dan sering tidak tersambung.,Sedang,4,4,Kantin
Bioteknologi,2024,Jaringan,Koneksi internet di Perpustakaan cukup tidak stabil sehingga sulit akses LMS.,Sedang,3,3,Laboratorium
Teknik Pertambangan,2022,Jaringan,Jangkauan jaringan di Perpustakaan lumayan kurang luas dan sering tidak tersambung.,Sedang,3,4,Gazebo
Teknik Pertambangan,2024,Jaringan,WiFi di Gedung A mendesak lambat dan sering putus saat kuliah berlangsung.,Tinggi,5,4,Laboratorium
Teknik Geologi,2022,Jaringan,Koneksi internet di Kantin mendesak tidak stabil sehingga sulit akses LMS.,Tinggi,4,5,Gedung A
Teknik Geologi,2024,Jaringan,Internet kampus di Gedung A mendesak bermasalah terutama saat jam sibuk.,Tinggi,5,4,Gedung A
Statistika,2024,Jaringan,Koneksi internet di Perpustakaan benar-benar tidak stabil sehingga sulit akses LMS. Ini sangat menghambat akses materi kuliah.,Tinggi,4,4,Gedung B
Bioteknologi,2024,Jaringan,Koneksi internet di Gedung D sangat tidak stabil sehingga sulit akses LMS. Ini sangat menghambat akses materi kuliah.,Tinggi,4,5,Perpustakaan
Kimia,2025,Jaringan,Internet kampus di Gazebo parah bermasalah terutama saat jam sibuk. Ini sangat menghambat akses materi kuliah.,Tinggi,4,4,Gedung B
Bioteknologi,2024,Jaringan,Internet kampus di Gedung B benar-benar bermasalah terutama saat jam sibuk. Ini sangat menghambat akses materi kuliah.,Tinggi,5,4,Kantin
Biologi,2025,Jaringan,Koneksi internet di Kantin mendesak tidak stabil sehingga sulit akses LMS. Ini sangat menghambat akses materi kuliah.,Tinggi,5,5,Gedung B
Bioteknologi,2022,Jaringan,Jangkauan jaringan di Perpustakaan sangat kurang luas dan sering tidak tersambung. Ini sangat menghambat akses materi kuliah.,Tinggi,5,4,Gazebo
Teknik Geologi,2022,Akademik,Perubahan jadwal di Gedung D masih mendadak dan membuat mahasiswa bingung.,Rendah,1,1,Perpustakaan
Teknik Geologi,2022,Akademik,Jadwal kuliah di Laboratorium masih bentrok sehingga mahasiswa sulit mengikuti kelas.,Rendah,2,2,Gazebo
Ilmu Komputer,2022,Akademik,Perubahan jadwal di Gedung A kadang mendadak dan membuat mahasiswa bingung.,Rendah,1,2,Gedung D
Statistika,2024,Akademik,Jadwal kuliah di Perpustakaan sering bentrok sehingga mahasiswa sulit mengikuti kelas.,Sedang,3,4,Gedung B
Biologi,2025,Akademik,Perubahan jadwal di Gedung B sering mendadak dan membuat mahasiswa bingung.,Sedang,3,4,Gedung D
Teknik Geologi,2022,Akademik,Perubahan jadwal di Kantin masih sering mendadak dan membuat mahasiswa bingung.,Sedang,4,4,Kantin
Kimia,2024,Akademik,Sistem akademik di Gazebo masih sering menyulitkan saat KRS dan pengecekan nilai.,Sedang,4,4,Gedung D
Biologi,2024,Akademik,Perubahan jadwal di Perpustakaan cukup mendadak dan membuat mahasiswa bingung.,Sedang,3,4,Perpustakaan
Statistika,2023,Akademik,Pengumuman perkuliahan di Gazebo cukup terlambat sehingga banyak mahasiswa tidak siap.,Sedang,4,4,Gedung C
Statistika,2025,Akademik,Sistem akademik di Gazebo sering menyulitkan saat KRS dan pengecekan nilai.,Sedang,3,3,Laboratorium
Statistika,2022,Akademik,Jadwal kuliah di Gedung D benar-benar bentrok sehingga mahasiswa sulit mengikuti kelas.,Tinggi,5,4,Gedung C
Kimia,2025,Akademik,Jadwal kuliah di Gedung C mendesak bentrok sehingga mahasiswa sulit mengikuti kelas.,Tinggi,5,5,Laboratorium
Teknik Geologi,2022,Akademik,Sistem akademik di Perpustakaan mendesak menyulitkan saat KRS dan pengecekan nilai.,Tinggi,4,5,Kantin
Teknik Pertambangan,2024,Akademik,Jadwal kuliah di Gedung C sangat bentrok sehingga mahasiswa sulit mengikuti kelas.,Tinggi,5,5,Gedung C
Kimia,2024,Akademik,Pengumuman perkuliahan di Gedung D parah terlambat sehingga banyak mahasiswa tidak siap.,Tinggi,4,4,Gedung C
Teknik Pertambangan,2025,Akademik,Pengumuman perkuliahan di Laboratorium parah terlambat sehingga banyak mahasiswa tidak siap.,Tinggi,4,5,Gazebo
Teknik Geologi,2024,Akademik,Perubahan jadwal di Gedung D parah mendadak dan membuat mahasiswa bingung.,Tinggi,5,4,Kantin
Bioteknologi,2022,Akademik,Jadwal kuliah di Gazebo mendesak bentrok sehingga mahasiswa sulit mengikuti kelas.,Tinggi,4,4,Gedung A
Teknik Geologi,2025,Akademik,Sistem akademik di Kantin parah menyulitkan saat KRS dan pengecekan nilai.,Tinggi,4,5,Gedung C
Bioteknologi,2022,Akademik,Pengumuman perkuliahan di Laboratorium sangat terlambat sehingga banyak mahasiswa tidak siap.,Tinggi,4,5,Gedung C
Teknik Pertambangan,2025,Keuangan,Verifikasi pembayaran di Gedung D agak lambat sehingga menghambat administrasi kuliah.,Rendah,2,1,Laboratorium
Teknik Pertambangan,2024,Keuangan,Proses pembayaran UKT di Kantin sedikit lama dan sering membuat mahasiswa menunggu.,Rendah,1,2,Gedung A
Statistika,2022,Keuangan,Sistem keuangan di Gazebo agak sering error saat cek status pembayaran.,Rendah,2,2,Perpustakaan
Teknik Pertambangan,2024,Keuangan,Proses pembayaran UKT di Gedung A masih sering lama dan sering membuat mahasiswa menunggu.,Sedang,3,4,Gedung D
Ilmu Komputer,2024,Keuangan,Proses pembayaran UKT di Kantin cukup lama dan sering membuat mahasiswa menunggu.,Sedang,3,3,Laboratorium
